name,text
Add MS 23494_0030_r0_l11p9,يَنْقَسِمَ
Add MS 7474_0104_r1_l17p3,سليمة
Add MS 7474_0050_r8_l45p7,المقامٰات
Add MS 7474_0028_r10_l19p12,فلا
Add MS 7474_0106_r0_l35p6,يَنْقَسِمَ
Add MS 7474_0104_r1_l38p9,سليمة
Add MS 7474_0106_r0_l3p6,المقامٰات
Add MS 23494_0032_r0_l7p4,فلا
Add MS 23494_0033_r0_l11p1,يَنْقَسِمَ
Add MS 23494_0039_r0_l5p7,سليمة
Add MS 23494_0032_r0_l18p6,المقامٰات
Add MS 7474_0048_r4_l32p5,فلا
Add MS 7474_0050_r8_l53p7,يَنْقَسِمَ
Add MS 7474_0013_r1_l14p6,سليمة
Add MS 23494_0047_r1_l23p4,المقامٰات
Add MS 23494_0045_r0_l16p4,فلا
Add MS 7474_0042_r2_l3p3,يَنْقَسِمَ
Add MS 7474_0028_r10_l16p11,سليمة
Add MS 7474_0049_r3_l2p14,المقامٰات
Add MS 23494_0033_r0_l8p7,فلا
Add MS 23494_0039_r0_l13p8,يَنْقَسِمَ
Add MS 7474_0048_r4_l18p2,سليمة
Add MS 23494_0047_r1_l19p6,المقامٰات
Add MS 7474_0048_r4_l12p4,فلا
Add MS 7474_0048_r4_l31p6,يَنْقَسِمَ
Add MS 7474_0049_r3_l5p2,سليمة
Add MS 7474_0048_r4_l10p6,المقامٰات
Add MS 7474_0028_r10_l24p9,فلا
Add MS 7474_0049_r3_l20p9,يَنْقَسِمَ
Add MS 23494_0039_r0_l15p7,سليمة
Add MS 7474_0042_r2_l15p2,المقامٰات
Add MS 23494_0032_r0_l6p4,فلا
Add MS 7474_0028_r10_l22p5,يَنْقَسِمَ
Add MS 23494_0030_r0_l5p7,سليمة
Add MS 7474_0028_r10_l3p2,المقامٰات
Add MS 7474_0028_r10_l21p7,فلا
Add MS 7474_0048_r4_l6p5,يَنْقَسِمَ
Add MS 23494_0033_r0_l19p10,سليمة
Add MS 23494_0044_r0_l7p9,المقامٰات
Add MS 23494_0032_r0_l20p1,فلا
Add MS 7474_0104_r1_l37p1,يَنْقَسِمَ
Add MS 23494_0032_r0_l2p8,سليمة
Add MS 23494_0032_r0_l1p2,المقامٰات
Add MS 7474_0106_r0_l3p11,فلا
Add MS 7474_0013_r1_l17p4,يَنْقَسِمَ
Add MS 23494_0033_r0_l20p1,سليمة
Add MS 7474_0106_r0_l17p6,المقامٰات
Add MS 23494_0047_r1_l26p2,فلا
Add MS 7474_0050_r8_l35p7,يَنْقَسِمَ
Add MS 23494_0033_r0_l8p9,سليمة
Add MS 23494_0028_r1_l17p7,المقامٰات
Add MS 7474_0106_r0_l15p7,فلا
Add MS 7474_0048_r4_l24p5,يَنْقَسِمَ
Add MS 7474_0049_r3_l17p7,سليمة
Add MS 23494_0044_r0_l1p3,المقامٰات
Add MS 23494_0047_r1_l12p5,فلا
Add MS 7474_0049_r3_l4p6,يَنْقَسِمَ
Add MS 23494_0028_r1_l23p1,سليمة
Add MS 23494_0045_r0_l9p5,المقامٰات
Add MS 23494_0047_r1_l11p1,فلا
Add MS 7474_0042_r2_l1p5,يَنْقَسِمَ
Add MS 23494_0047_r1_l32p8,سليمة
Add MS 23494_0045_r0_l2p3,المقامٰات
Add MS 7474_0042_r2_l7p7,فلا
Add MS 23494_0028_r1_l25p5,يَنْقَسِمَ
Add MS 23494_0039_r0_l18p9,سليمة
Add MS 7474_0028_r10_l14p3,المقامٰات
Add MS 23494_0039_r0_l22p3,فلا
Add MS 23494_0028_r1_l11p2,يَنْقَسِمَ
Add MS 7474_0104_r1_l21p4,سليمة
Add MS 23494_0047_r1_l26p10,المقامٰات
Add MS 23494_0039_r0_l2p10,فلا
Add MS 7474_0049_r3_l4p5,يَنْقَسِمَ
Add MS 7474_0050_r8_l47p11,سليمة
